日付,code,name,market,33業種コード,sector,17業種コード,17業種区分,規模コード,規模区分,ticker
20260831,6273,ＳＭＣ,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70,6273.T
20260831,6276,シリウスビジョン,スタンダード（内国株式）,3650,電気機器,9,電機・精密,-,-,6276.T
20260831,6277,ホソカワミクロン,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6277.T
20260831,6278,ユニオンツール,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6278.T
20260831,6279,瑞光,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6279.T
20260831,6282,オイレス工業,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6282.T
20260831,6284,日精エー・エス・ビー機械,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6284.T
20260831,6286,靜甲,スタンダード（内国株式）,3600,機械,8,機械,-,-,6286.T
20260831,6287,サトー,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6287.T
20260831,6289,技研製作所,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6289.T
20260831,6291,日本エアーテック,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6291.T
20260831,6292,カワタ,スタンダード（内国株式）,3600,機械,8,機械,-,-,6292.T
20260831,6294,オカダアイヨン,プライム（内国株式）,3600,機械,8,機械,-,-,6294.T
20260831,6298,ワイエイシイホールディングス,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6298.T
20260831,6301,小松製作所,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70,6301.T
20260831,6302,住友重機械工業,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400,6302.T
20260831,6305,日立建機,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400,6305.T
20260831,6306,日工,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6306.T
20260831,6307,サンセイ,スタンダード（内国株式）,3600,機械,8,機械,-,-,6307.T
20260831,6309,巴工業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6309.T
20260831,6310,井関農機,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6310.T
20260831,6315,ＴＯＷＡ,プライム（内国株式）,3600,機械,8,機械,6,TOPIX Small 1,6315.T
20260831,6316,丸山製作所,スタンダード（内国株式）,3600,機械,8,機械,-,-,6316.T
20260831,6317,北川鉄工所,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6317.T
20260831,6322,タクミナ,スタンダード（内国株式）,3600,機械,8,機械,-,-,6322.T
20260831,6323,ローツェ,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400,6323.T
20260831,6324,ハーモニック・ドライブ・システムズ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6324.T
20260831,6325,タカキタ,スタンダード（内国株式）,3600,機械,8,機械,-,-,6325.T
20260831,6326,クボタ,プライム（内国株式）,3600,機械,8,機械,2,TOPIX Large70,6326.T
20260831,6327,北川精機,スタンダード（内国株式）,3600,機械,8,機械,-,-,6327.T
20260831,6328,荏原実業,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2,6328.T
