銘柄コード,銘柄名,現在株価,時価総額(億円),PER,PBR,自己資本比率(%),流動資産,負債合計,投資有価証券,発行済株式数,Netキャッシュ,1株ネットキャッシュ,ネットキャッシュ比率,乖離率(%),欠損項目,エラー
1885.T,東亜建設工業,2087.0,1613.89019136,8.403462,1.3910329,38.608214513726324,240703000000.0,187512000000.0,14733000000.0,77330628.0,44752899999.99997,578.7215383793337,0.277298293425651,-72.27017065743489,,
1893.T,五洋建設,1445.5,3907.61480192,11.507842,2.0385253,25.18063341569534,527938000000.0,591382000000.0,28517000000.0,270329637.0,-102620300000.0,-379.61172566513676,-0.26261620592538,-126.26162059253801,,
1888.T,若築建設,3675.0,468.41380864,10.706482,0.88231796,44.727706395040144,98185000000.0,67666000000.0,8432000000.0,12745954.0,29654800000.0,2326.604975979044,0.6330897893820527,-36.69102106179472,,
1904.T,大成温調,5100.0,317.23835392,8.888889,1.0324309,59.22176549886655,35644925000.0,21160880000.0,4709444000.0,6220360.0,15664567800.0,2518.273508285694,0.4937791192717047,-50.62208807282953,,
1898.T,世紀東急工業,1495.0,547.65047808,11.737457,1.2715634,52.30687329942032,52540000000.0,40315000000.0,345000000.0,36632141.0,8435000000.0,230.26227159368054,0.15402158635028798,-84.5978413649712,,
1897.T,金下建設,3310.0,69.67202304,17.182308,0.34037971,83.80126849894292,13074000000.0,3831000000.0,8378000000.0,2104895.0,14724500000.0,6995.3608137223,2.1134020585263746,111.34020585263747,,
1899.T,福田組,4445.0,728.98265088,9.980017,0.78707683,61.1380834847704,107630000000.0,57312000000.0,7571000000.0,16400060.0,49886499999.99999,3041.84862738307,0.684330399861208,-31.566960013879193,,
1905.T,テノックス,1461.0,97.8236928,10.352158,0.73008204,65.40997606580748,14256938000.0,7370012000.0,3249985000.0,6695667.0,8424914299.999999,1258.263635273379,0.86123452106323,-13.87654789367701,,
1909.T,日本ドライケミカル,3695.0,990.80331264,19.493538,3.069118,63.75730682417671,39420592000.0,20667004000.0,2931963000.0,26814704.0,18739261700.0,698.8427580628896,0.1891320048884681,-81.0867995111532,,
1911.T,住友林業,1300.5,7974.42965504,9.451995,0.6419724,44.19797265352842,1693747000000.0,1435246000000.0,377339000000.0,613181820.0,379113699999.99976,618.2728966100133,0.4754116852057003,-52.45883147942997,,
1914.T,日本基礎技術,831.0,152.0034816,9.268347,0.61195093,64.12336263790598,17166964000.0,13830020000.0,7665378000.0,18291634.0,7319706599.999998,400.16690690399764,0.48154862443321017,-51.84513755667899,,
1921.T,巴コーポレーション,1948.0,653.8305536,11.454781,0.8663449,61.226845578802966,27946177000.0,46979213000.0,45323936000.0,33564195.0,7995797899.999989,238.22403308048916,0.12229159809060018,-87.77084019093998,,
1928.T,積水ハウス,3379.0,21903.96882944,8.517986,1.0142313,43.70664380101853,3907449000000.0,2818404000000.0,202295000000.0,648238209.0,948811099999.9995,1463.6766034875916,0.43316857161514993,-56.68314283848501,,
1926.T,ライト工業,3805.0,1562.05907968,13.192566,1.8498306,72.17025331533392,80037000000.0,35046000000.0,10026000000.0,41052799.0,48504600000.0,1181.5174892216241,0.31051707995312067,-68.94829200468793,,
1929.T,日特建設,1198.0,500.39406592,12.005211,1.3515755,60.836605497235354,43984000000.0,24436000000.0,5976000000.0,41769118.0,21287599999.999996,509.64925809541865,0.42541674298448967,-57.458325701551026,,
1930.T,北陸電気工事,1567.0,430.96477696,11.210474,0.9344418,74.33862433862434,39788000000.0,15908000000.0,2122000000.0,27502538.0,23774600000.0,864.4511281104311,0.5516599413595604,-44.83400586404397,,
1925.T,大和ハウス工業,4697.0,29099.80852224,8.291847,0.9998235,35.92632511528491,4702696000000.0,5390146000000.0,303797000000.0,619540262.0,-1013806700000.0,-1636.385497735416,-0.3483895034565501,-134.838950345655,,
1934.T,ユアテック,2590.0,1778.98831872,17.241379,1.1505097,67.85558292712756,146772000000.0,73594000000.0,12438000000.0,68686811.0,74525200000.0,1085.0001465346818,0.41891897549601614,-58.10810245039839,,
1941.T,中電工,5140.0,2721.2447744,15.037594,1.0757333,77.9755143650946,142101000000.0,69998000000.0,104807000000.0,52942503.0,138468100000.0,2615.443021271586,0.5088410547220985,-49.115894527790154,,
1939.T,四電工,2292.0,1084.90932224,14.450539,1.5368513,68.54367436531852,58398000000.0,32674000000.0,13010000000.0,47334611.0,31563600000.0,666.8186203114673,0.29093308041512533,-70.90669195848747,,
1938.T,日本リーテック,2528.0,626.45223424,11.274138,0.92532474,68.3566680012755,58734813000.0,32065948000.0,20062615000.0,24780549.0,37506100700.0,1513.5298535960603,0.5987064294288214,-40.129357057117865,,
1946.T,トーエネック,2226.0,2080.53927936,11.601001,1.3320312,49.08396971027357,149742000000.0,158885000000.0,27346000000.0,93465373.0,-5889300000.0,-63.010501225946,-0.028306604324324348,-102.83066043243242,,
1942.T,関電工,5630.0,11204.48544768,18.050657,2.9066675,63.8252849982222,397872000000.0,229933000000.0,77397000000.0,199013954.0,199123599999.99997,1000.5509462919367,0.17771775244972232,-82.22822475502778,,
1945.T,東京エネシス,2104.0,697.15550208,16.312607,0.9694293,60.715333238357815,66994000000.0,46878000000.0,18374000000.0,33134769.0,28289999999.999992,853.7859430980186,0.40579179805038906,-59.42082019496109,,
1944.T,きんでん,7047.0,11591.02595072,20.12049,2.6776044,72.43606930900025,497748000000.0,251869000000.0,146397000000.0,164481718.0,323170000000.0,1964.7776295721815,0.2788105051187997,-72.11894948812004,,
1948.T,弘電社,11420.0,997.37714688,35.211052,4.0235553,64.22886587419009,29599000000.0,14023000000.0,1756000000.0,8733600.0,15402899999.999998,1763.6369881835667,0.1544340620125715,-84.55659379874284,,
1950.T,日本電設工業,3995.0,2331.96552192,12.920022,1.1168418,69.12218051307248,202513000000.0,103068000000.0,51853000000.0,58372105.0,125435299999.99998,2148.891152717552,0.5378951571257952,-46.21048428742048,,
